用户股吧年龄,用户昵称,个股名称,评论标题,评论内容,发帖时间,标签,label
4.9年,Jikmi,三一重工(600031.sh),主力好像没力了。呵呵,主力好像没力了。呵呵,2018/7/23 9:56,负向,-1
6.3年,东方长剑,三一重工(600031.sh),三一横着走她是摊手,"三一横着走,她是???[摊手]",2016/2/24 11:06,负向,-1
5.2年,风雪之寒夜,三一重工(600031.sh),快呀，一会来不及了,快呀，一会来不及了,2018/1/17 14:53,负向,-1
8.3年,ABC2566888hogz,三一重工(600031.sh),还龙头给徐工提鞋,还龙头给徐工提鞋,2018/1/23 11:01,负向,-1
5.9年,庾个涉庾5218,三一重工(600031.sh),主力跟机构量都没有出来,主力跟机构量都没有出来,2017/1/5 23:13,中性,0
3年,八字身弱,三一重工(600031.sh),哈哈哈哈哈哈哈大盘掉成这样谁都别想涨,哈哈哈哈哈哈哈大盘掉成这样谁都别想涨,2019/10/23 15:37,负向,-1
3.1年,刘丰逐,三一重工(600031.sh),今天主力资金可以，砸进了不少钱，盘子控制的固若金汤，不亏是白马股，唯一可惜的就是拉不上去。,今天主力资金可以，砸进了不少钱，盘子控制的固若金汤，不亏是白马股，唯一可惜的就是拉不上去。,2019/4/3 14:05,负向,-1
3.3年,股友H76885889X,三一重工(600031.sh),支持一波三一重工,好运三一重工,2019/2/13 10:18,正向,1
10.6年,人生近不惑,三一重工(600031.sh),用实际行动支持民族企业！买买买！,用实际行动支持民族企业！买买买！,2019/12/27 10:21,正向,1
9年,n107913685036842,三一重工(600031.sh),都在倒转，一个口袋进一个口袋,都在倒转，一个口袋进一个口袋,2018/12/11 8:34,中性,1
4.6年,qrrrfw,三一重工(600031.sh),再套一批,再套一批,2018/6/13 12:24,负向,-1
6.5年,整整齐齐一片红,三一重工(600031.sh),牛加油牛加油牛加油牛加油牛加油牛加,[牛][加油][牛][加油][牛][加油][牛][加油][牛][加油][牛][加油][牛][加油][牛][加油][牛][加油][牛],2019/5/29 14:07,正向,1
6.9年,H小姐,三一重工(600031.sh),没有人卖了。,没有人卖了。,2018/3/15 3:05,中性,0
5年,仙人掌69,三一重工(600031.sh),马来西亚和中国合作开发2200多亿的大马城建设和三一重工有关联吗,马来西亚和中国合作开发2200多亿的大马城建设和三一重工有关联吗,2019/4/20 10:51,中性,0
8.6年,周星星2392,三一重工(600031.sh),洗一洗，下午急拉，更干净！,洗一洗，下午急拉，更干净！,2019/4/11 11:21,正向,1
3.1年,大发来财得周芷若,三一重工(600031.sh),三一加油！！徐工能不能涨，就靠你了,三一加油！！徐工能不能涨，就靠你了,2019/8/28 17:39,正向,1
6年,股友voQ9i4,三一重工(600031.sh),欢迎三一破位，大家炒低，气死主力。,欢迎三一破位，大家炒低，气死主力。,2016/12/2 14:13,负向,-1
4.8年,股友SJ1Khn,三一重工(600031.sh),故弄玄虚，当心一根钓鱼线,故弄玄虚，当心一根钓鱼线,2018/8/23 13:06,负向,-1
5.9年,败给现实1,三一重工(600031.sh),收盘6.9,收盘6.9,2016/11/14 14:38,中性,0
7.5年,美丽依旧521,三一重工(600031.sh),伪利好，要不三一跌这熊样！,伪利好，要不三一跌这熊样！,2017/5/9 15:28,负向,-1
7.4年,武状元苏灿,三一重工(600031.sh),好人哭坏人笑,炒股稳赚有秘诀？,2017/7/2 11:59,中性,0
6.9年,未设置昵称h8663,三一重工(600031.sh),傻们，从收购开始，卢先生运筹帷幄这么多年，就r,傻们，从收购开始，卢先生运筹帷幄这么多年，就r,2017/10/9 11:11,负向,-1
14.8年,人在江湖hhh,三一重工(600031.sh),和伊利股份一样的套路，市价回购，然后半价股权激励发给自己，就当股民是傻子。所有回,和伊利股份一样的套路，市价回购，然后半价股权激励发给自己，就当股民是傻子。所有回购后不注销的都是耍流氓。,2019/8/24 12:21,负向,-1
6.9年,麦兜涨涨涨,三一重工(600031.sh),惠达卫浴海外销售业务存隐患与第一大客户亦,月入过万的你 现在过着怎样的生活？,2017/4/18 9:29,中性,0
3.9年,股友F1bJeV,三一重工(600031.sh),短线的下车了，中长线的上车机会到了。好的公司，好的前景，好的业绩，好的现金流,短线的下车了，中长线的上车机会到了。 好的公司，好的前景，好的业绩，好的现金流 低估的价值 目前这个阶段的技术分析对于三一这样的公司真的很重要吗？ 号称基建狂魔的中国，在机械制造领域还没有一家真正世界级的中国公司，我们中国人自己答应吗？,2019/1/21 14:38,正向,1
4年,背景太硬说不得,三一重工(600031.sh),值得长期持有,值得长期持有,2019/3/15 10:13,正向,1
5.8年,股友Wo6XXk,三一重工(600031.sh),为什么删了我的帖,为什么删了我的帖？,2018/5/15 14:05,负向,-1
6.8年,晶髓0322,三一重工(600031.sh),不断下探的玩意儿,不断下探的玩意儿,2019/4/2 10:45,负向,-1
5.4年,格力电影黄金1868,三一重工(600031.sh),继续持股,继续持股,2018/1/9 22:57,正向,1
5.1年,心方向11439,三一重工(600031.sh),嘻嘻，赚了,嘻嘻，赚了,2019/2/18 14:51,正向,1
6.7年,rb进行中,三一重工(600031.sh),真搞不懂上面的人怎么想的，哎,真搞不懂上面的人怎么想的，哎,2016/1/6 14:34,负向,-1
12.7年,股友Sanztp,三一重工(600031.sh),多看看了，节前不要动了，14块下再考虑建仓，长线还是看好它的。,多看看了，节前不要动了，14块下再考虑建仓，长线还是看好它的。,2019/9/25 16:04,正向,1
4.5年,养牛场厂长,三一重工(600031.sh),419咒会是极速开盘吗,419咒？会是极速开盘吗？,2019/4/18 21:45,中性,0
3.9年,一件布衣,三一重工(600031.sh),31.死棋啦。恭喜跑路的。等明天回调再买。爽死做T的了。严重看空姨太太。成交,31.死棋啦。恭喜跑路的。等明天回调再买。爽死做T的了。严重看空姨太太。[成交][成交][成交],2019/3/20 11:23,负向,-1
7.4年,Rongshu6942,三一重工(600031.sh),王健林的万达哲学开始在全球范围发行,王健林作为万达集团的总设计师，在多年的发展中，以先进的创新战略，推动万达一步步发展，直至成为超级经济航母。而王健林成功的经营，也让他声名鹊起，引发国际经济学家的高度关注和好评。  　　? 从中国东北沿海的一座二线城市的房地产开发商，到如今中国房地产行业“千亿俱乐部”的成员之一...,2016/6/3 13:59,中性,0
3.3年,股友8MnYVd,三一重工(600031.sh),北向资金小量的进出影响不大，大量流出要特别关注！,北向资金小量的进出影响不大，大量流出要特别关注！,2019/8/7 11:34,中性,0
4.2年,三一十元等,三一重工(600031.sh),是龙还是虫马上见分晓,是龙还是虫马上见分晓,2018/4/25 15:06,中性,0
7.2年,西凉花雨,三一重工(600031.sh),一日无二晨，时过不再临。,一日无二晨，时过不再临。,2016/6/22 1:23,负向,-1
10.1年,归谷子,三一重工(600031.sh),有啥利好，为啥今天开盘涨,别的股票都跌，三一今天涨，很是惊奇,2016/1/26 9:20,正向,1
6.3年,股友2SO21186,三一重工(600031.sh),钱是自己的,一个个装的很，开盘前个个猪一样（屁都不敢放一个，尽说些不痛不痒装逼话），闭盘后个个诸葛亮。比什么什么都厉害砖家，叫兽，一大堆！,2017/7/21 13:51,中性,0
6.9年,数据暴走,三一重工(600031.sh),一阳穿4线，这走势,一阳穿4线，这走势,2018/6/19 20:22,正向,1
5.1年,观潮测汐人13695,三一重工(600031.sh),涨幅已大，当心回调。,涨幅已大，当心回调。,2017/6/26 11:40,正向,1
8.7年,周周友,三一重工(600031.sh),看今天就向下楼准备去地下室,看今天就向下楼准备去地下室,2019/7/5 12:33,负向,-1
4.8年,抡浊媒甲蚊撬2373,三一重工(600031.sh),三一重工主力吹起一阵妖风，，这个位置千万看好,三一重工主力吹起一阵妖风，，这个位置千万看好！,2017/8/9 14:47,正向,1
7.2年,n1426057235a376b,三一重工(600031.sh),今天真会玩啊，上证！,今天真会玩啊，上证！,2017/6/30 19:33,负向,-1
4.6年,股友7NI2Is,三一重工(600031.sh),都给老子不要买，等别人炒涨几倍再来追。,都给老子不要买，等别人炒涨几倍再来追。,2018/10/17 21:18,负向,-1
3.3年,南海回家,三一重工(600031.sh),估计要涨停，我却把它卖了,估计要涨停，我却把它卖了,2019/3/15 10:16,正向,1
3.1年,宅男六号,三一重工(600031.sh),分手时节雨纷纷,今天我和阿三分手了，我们恋恋不舍，毕竟相处了快十天了，阿三说：“分手可以，留下点纪念品。” 我说：“会的。”　　轻轻的我走了，正如我轻轻的来，我挥一挥衣袖，留下了六百大钞！,2019/4/2 15:19,中性,0
4.8年,股友gXM40p5610,三一重工(600031.sh),到处找有限的熟人,到处找有限的熟人,2017/8/2 12:28,中性,0
7.9年,股友9YvnfC,三一重工(600031.sh),又跟37那天一样不要脸了,又跟3/7那天一样不要脸了,2018/6/12 23:20,负向,-1
7.4年,tanw72,三一重工(600031.sh),600805，300022农机现代化概念股有望大涨！,大立科技(002214)非制冷红焦平面探测器获国家认,2017/1/4 19:07,正向,1
8.8年,新new山,三一重工(600031.sh),集工业4.0，军工，影视，网络直播，互联网金融,000731怎么样啊,2017/1/17 12:15,中性,0
6.2年,舞墨轩,三一重工(600031.sh),三一好样的，赞。不像紫光国芯专门坑散户,三一好样的，[赞]。不像紫光国芯专门坑散户,2017/10/24 20:06,正向,1
7.2年,髙雪荣8438,三一重工(600031.sh),三一重工啥时候也来一个涨停板,三一重工啥时候也来一个涨停板,2017/6/22 12:13,正向,1
5.4年,n1282302950677,三一重工(600031.sh),大幅拉升，但指数并没有出现大涨，,反而引来众多中小盘股的再次盘中逆反跳水走势,2016/12/22 21:04,正向,1
5.8年,七个SEVEN,三一重工(600031.sh),川普上台，欲大兴土木，CAT卡特彼勒大涨！,老美不玩虚的，利好就跳空高开。 川普上台，欲大兴土木，CAT卡特彼勒大涨！,2016/11/9 22:55,正向,1
4.2年,平时福,三一重工(600031.sh),昨天被吓傻了，今天怎么办,怎么办，现在跑还能保本。有个高手昨天清仓走人了， 我吓呆了没动，今天走不走啊[亏大了],2018/6/21 11:11,负向,-1
7.1年,o微笑o不会肋,三一重工(600031.sh),今天这么跌成这样了，这股不是不会跌吗,[哭][哭],2019/4/11 11:03,负向,-1
4.4年,股友8wGs2x,三一重工(600031.sh),三一国际,三一国际,2019/10/29 14:07,中性,0
4.4年,股友rwOIS9,三一重工(600031.sh),三一雄起,三一雄起,2019/11/4 10:52,正向,1
7年,智泽男票大人,三一重工(600031.sh),今天被洗出去了吗,今天应该是个洗盘，工程机械的龙头。今天的量比10.39，笔均量100400股。这么大的买盘量是散户买的吗？,2017/8/30 11:04,中性,0
2.6年,草船结茧,三一重工(600031.sh),这局面很好,减持的贪，庄又不敢拉高，就这么耗着，目前就是股票的合理价值,2019/11/17 14:54,中性,0
8年,seasidesun,三一重工(600031.sh),需求回升持续,需求回升持续,2017/5/27 16:54,正向,1
5.4年,n1219975246948,三一重工(600031.sh),也不知道怎么走反正利好就比利空强平常心,也不知道怎么走反正利好就比利空强平常心,2016/12/23 8:45,中性,0
7.3年,桃花289488,三一重工(600031.sh),三一配债什么意思请高人指点！,三一配债什么意思？请高人指点！,2016/1/4 11:03,负向,-1
11.8年,elai,三一重工(600031.sh),道印简：沪指冲高回落涨.%题材股低迷,收评：行情没有该不该，只有跟不跟,2017/5/1 17:29,中性,0
13.6年,留不住的过往,三一重工(600031.sh),三一重工好，经过了多次，现在终于明白了，紧紧跟着三一走，不会错的,三一重工好，经过了多次，现在终于明白了，紧紧跟着三一走，不会错的,2018/2/10 11:55,正向,1
6.5年,lby2228942,三一重工(600031.sh),哈哈哈走起抄底成功16倍杠杆杀进仓完美抄底深V,哈哈哈走起抄底成功16倍杠杆杀进仓完美抄底深V,2016/6/22 19:17,正向,1
3.1年,BADx2,三一重工(600031.sh),利空出尽，清仓了胜利,利空出尽，清仓了[胜利],2019/7/18 10:26,正向,1
4.3年,唱歌好几遍,三一重工(600031.sh),此时不上车等待何时微笑,此时不上车等待何时[微笑],2018/9/14 10:58,正向,1
7.1年,邬浇慰键0604,三一重工(600031.sh),十大仙众告诉告诉我呗,十大仙众告诉告诉我呗,2017/2/16 18:17,中性,0
4.3年,赫尔墨斯2,三一重工(600031.sh),致散户，基金经理机构他们不爱惜三一，任由北上资金狂买，将来翻倍以后才醒悟，三一已,致散户，基金经理机构他们不爱惜三一，任由北上资金狂买，将来翻倍以后才醒悟，三一已经进入了高爆发期，不管市场牛熊都将穿越，如果三一继续下跌将是越跌越买的节奏，不要害怕，今年明年三一是股票市值增加的保证，股价上涨了，股东人数不断下降，散户不断出局，心疼,2019/4/29 8:40,负向,-1
4.9年,yanziwen65,三一重工(600031.sh),走势形态不错可以进,走势形态不错 可以进,2019/6/18 10:35,正向,1
7年,heniu6688,三一重工(600031.sh),徐工涨停了，你才拉三一好逊好逊,徐工涨停了，你才拉三一[好逊][好逊],2018/5/15 9:37,负向,-1
6.7年,王妃洋洋,三一重工(600031.sh),明天有该有收获了！,明天有该有收获了！,2019/8/29 14:47,正向,1
5.2年,都市启明星,三一重工(600031.sh),这么稳健的股票怎么会杀成这样,这么稳健的股票怎么会杀成这样,2017/11/2 12:12,负向,-1
7.4年,活着就应该happy,三一重工(600031.sh),能跌停吗速度点跌，挂跌停板买点,能跌停吗？速度点跌，挂跌停板买点,2017/8/23 11:02,负向,-1
4.3年,股友mbCOF1,三一重工(600031.sh),慌吗,慌吗,2019/5/8 13:42,中性,0
2.9年,万人一心,三一重工(600031.sh),牛市来了，大盘将上行至四千点，三一周一大涨3%以下不不车，翻数倍利润总龙头加仓1,牛市来了，大盘将上行至四千点，三一周一大涨3%以下不不车，翻数倍利润总龙头加仓1万手，周一必涨停。快上车,2019/7/14 22:36,正向,1
5.9年,秦股主43,三一重工(600031.sh),当做是一次筛选投资标的的好机会,当做是一次筛选投资标的的好机会,2017/4/24 20:57,正向,1
3.2年,股友IfkqS8,三一重工(600031.sh),10.5等你哟,10.5等你哟,2019/4/12 10:52,中性,0
9.7年,yjj760612,三一重工(600031.sh),今天毫不犹豫的,逃命模式开始中,2017/7/2 20:06,负向,-1
4.9年,孤独者的游戏x,三一重工(600031.sh),哪有什么真正压力支撑位，给他两手就穿透了。这只不过是主力故意玩给散户看把戏而已,哪有什么真正压力支撑位，给他两手就穿透了。这只不过是主力故意玩给散户看把戏而已,2019/7/24 10:25,负向,-1
